brand,name,description,category,product_type,cleaned_desc
colourpop,Lippie Pen  l,"Lippie Pen  l A long-wearing and high-intensity lip pen  l that glides on easily and prevents feathering. Many of our Lippie Stix have a coordinating Lippie Pen  l designed to compliment it perfectly, but feel free to mix and match!",pen  l,lip_liner,lippie pen  l long wearing high intensity lip pen  l glide easily prevents feathering many lippie stix coordinating lippie pen  l designed compliment perfectly feel free mix match
colourpop,Blotted Lip,"Blotted Lip Sheer matte lipstick that creates the perfect popsicle pout! Formula is lightweight, matte and buildable for light to medium coverage.",lipstick,lipstick,blotted lip sheer matte lipstick creates perfect popsicle pout formula lightweight matte buildable light medium coverage
colourpop,Lippie Stix,"Lippie Stix Formula contains Vitamin E, Mango, Avocado, and Shea butter for added comfort and moisture. None of our Lippie formulas contain any nasty ingredients like Parabens or Sulfates.",lipstick,lipstick,lippie stix formula contains vitamin mango avocado shea butter added comfort moisture none lippie formula contain nasty ingredient like parabens sulfate
colourpop,No Filter Foundation,"Developed for the Selfie Age, our buildable full coverage, natural matte foundation delivers flawless looking skin from day-to-night. The oil-free, lightweight formula blends smoothly and is easily customizable to create the coverage you want. Build it up or sheer it out, it was developed with innovative soft-blurring pigments to deliver true color while looking and feeling natural. The lockable pump is easy to use and keeps your routine mess-free! As always, 100% cruelty-free and vegan.",liquid,foundation,developed selfie age buildable full coverage natural matte foundation delivers flawless looking skin day night oil free lightweight formula blend smoothly easily customizable create coverage want build sheer developed innovative soft blurring pigment deliver true color looking feeling natural lockable pump easy use keep routine mess free always cruelty free vegan
boosh,Lipstick,"All of our products are free from lead and heavy metals, parabens, phthalates, artifi  al colourants, and synthetic fragrances.  Boosh lipstick glides on smoothly for clean & protective SPF coverage. They are filled with hydrating oils and butters to preserve and enhance your lips natural surface. Organic sweet orange oil gives a light and cheerful scent.",lipstick,lipstick,product free lead heavy metal parabens phthalates artifi  al colourants synthetic fragrance boosh lipstick glide smoothly clean protective spf coverage filled hydrating oil butter preserve enhance lip natural surface organic sweet orange oil give light cheerful scent
de  em,Serum Foundation,Serum Foundations are lightweight medium-coverage formulations available in a comprehensive shade range across 21 shades. These foundations offer moderate coverage that looks natural with a very lightweight serum feel. They are very low in viscosity and are dispensed with the supplied pump or with the optional glass dropper available for purchase separately if preferred. ,liquid,foundation,serum foundation lightweight medium coverage formulation available comprehensive shade range across shade foundation offer moderate coverage look natural lightweight serum feel low viscosity dispensed supplied pump optional glass dropper available purchase separately preferred
de  em,Coverage Foundation,"Coverage Foundations are full-coverage formulations available in a comprehensive shade range across 21 shades. These foundations contain higher pigment levels than our Serum Foundations but still offer a smooth finish that avoids the heavy makeup look that can make skin appear more aged. The texture is that of a lightweight, non-oily cream.",liquid,foundation,coverage foundation full coverage formulation available comprehensive shade range across shade foundation contain higher pigment level serum foundation still offer smooth finish avoids heavy makeup look make skin appear aged texture lightweight non oily cream
zorah biocosmetiques,Liquid Liner,"<strong>12 hours of long-lasting</strong> intense color, transfer-free (leaves no trace on crease above the eyelid) <strong>Pure Light Capture®</strong> <strong>minerals</strong> deliver color and radiance. Silky lines and refreshingly light, Pure Argan eyeliner leaves a weightless feel on the eyelids.<p align='LEFT'>Natural cosmetic certified by Ecocert Greenlife according to Ecocert Standard available at: http://cosmetiques.ecocert.com</p>98% of the total ingredients are from natural origin 5% of total ingredients are from organic farming",liquid,eyeliner,strong hour long lasting strong intense color transfer free leaf trace crease eyelid strong pure light capture strong strong mineral strong deliver color radiance silky line refreshingly light pure argan eyeliner leaf weightless feel eyelid align left natural cosmetic certified ecocert greenlife according ecocert standard available http cosmetiques ecocert com total ingredient natural origin total ingredient organic farming
zorah biocosmetiques,Eyeshadow,"<strong>Product Description</strong>Anti-aging formula made with organic Pure Argan oil and Pure Light Capture<sup>®</sup> pigments. 24 Hour crease-free intensity (no build-up increase of eyelid), no running. Pure Light Capture® pigments deliver color and luminosity. Silky and refreshingly light feel, Pure Argan eyeshadow is weightless on the eyelids. Pure Argan eyeshadow <strong>soothes</strong>, <strong>hides redness </strong>and <strong>slows the appearance of the signs of aging on the skin.</strong><p align='LEFT'>Natural cosmetic certified by Ecocert Greenlife according to Ecocert Standard available at: http://cosmetiques.ecocert.com</p>100% of the total ingredients are from natural origin5% of total ingredients are from organic farming",,eyeshadow,strong product description strong anti aging formula made organic pure argan oil pure light capture sup sup pigment hour crease free intensity build increase eyelid running pure light capture pigment deliver color luminosity silky refreshingly light feel pure argan eyeshadow weightless eyelid pure argan eyeshadow strong soothes strong strong hide redness strong strong slows appearance sign aging skin strong align left natural cosmetic certified ecocert greenlife according ecocert standard available http cosmetiques ecocert com total ingredient natural origin total ingredient organic farming
w3llpeople, Realist Invisible Setting Powder,"<span style=""font-weight: 400;"">Keep it real with a polished, soft-focus look using this superfine, loose mineral powder. The healing properties of organic aloe help soothe and calm stressed out skin. Instantly minimize pores, soften imperfections, and creates a matte finish with superfine powder. Use by itself for an air-brushed look, or to set foundation for ultra-long wear.</span><span style=""font-weight: 400;"">* Set makeup or by itself for matte air-brushed effect</span><span style=""font-weight: 400;"">* Absorbs excess oil while softening fine lines</span><span style=""font-weight: 400;"">* Organic aloe creates radiant, rejuvenated skin</span><span style=""font-weight: 400;"">* Hypoallergenic, Chemical Free, Cruelty Free &amp; Noncomedogenic </span><span style=""font-weight: 400;"">* EWG Verified for non-toxic health and safety</span><span style=""font-weight: 400;"">* Free From: Parabens, Gluten, GMO, Phthalates, Sulfates, Fragrance, Pheonoxyethanol, Dimethicone, PEG, Propylene Glycol, Butylene Glycol, Lead, Mineral Oil, Talc</span>",powder,foundation,span style font weight keep real polished soft focus look using superfine loose mineral powder healing property organic aloe help soothe calm stressed skin instantly minimize pore soften imperfection creates matte finish superfine powder use air brushed look set foundation ultra long wear span span style font weight set makeup matte air brushed effect span span style font weight absorbs excess oil softening fine line span span style font weight organic aloe creates radiant rejuvenated skin span span style font weight hypoallergenic chemical free cruelty free amp noncomedogenic span span style font weight ewg verified non toxic health safety span span style font weight free parabens gluten gmo phthalates sulfate fragrance pheonoxyethanol dimethicone peg propylene glycol butylene glycol lead mineral oil talc span
